-42.0006	174.0191
-42.2493	173.8389
-42.3633	173.6916
-42.4079	173.6915
-42.422	173.6716
-42.5133	173.5094
-42.5968	173.479
-42.859	173.3134
-43.0512	173.0639
-43.1676	172.7859
-43.2135	172.7562
-43.2881	172.727
-43.3737	172.713
-43.4831	172.7273
-43.5065	172.7371
-43.5583	172.7567
-43.5651	172.7703
-43.5782	172.7901
-43.8301	172.6928
-43.8625	172.3591
-43.8915	172.2437
-44.054	171.8165
-44.1926	171.5097
-44.289	171.3462
-44.3615	171.2594
-44.4026	171.2651
-44.4626	171.2464
-44.5727	171.1744
-44.713	171.17
